date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city
2014/6/20 0:00,994500,4,2.25,2870,6280,1.5,0,0,4,1980,890,1905,0,Seattle
2014/6/20 0:00,0,4,2.5,1960,11600,1,0,0,5,980,980,1931,0,Auburn
2014/6/20 0:00,0,4,1,1810,7500,1,0,0,2,1410,400,1959,0,Seattle
2014/6/22 0:00,0,2,2.25,1490,6770,1.5,0,0,3,1490,0,1926,2003,Seattle
2014/6/23 0:00,0,3,4.5,5230,17826,2,1,4,3,3740,1490,2005,0,Mercer Island
2014/6/23 0:00,288500,5,2.5,3390,9760,1,0,0,5,1750,1640,1978,0,Renton
2014/6/23 0:00,379509.1667,2,1,880,6413,1,0,0,3,880,0,1950,2005,Seattle
2014/6/23 0:00,180785.7143,2,1,2550,21675,1,0,1,4,1610,940,1958,1972,Des Moines
2014/6/23 0:00,950100,4,2.5,3160,13194,2,0,0,5,3160,0,1965,0,Mercer Island
2014/6/24 0:00,0,4,5,4550,18641,1,1,4,3,2600,1950,2002,0,Sammamish
2014/6/24 0:00,542500,5,2.75,3831,13800,2,1,4,3,3831,0,1959,1980,Mercer Island
2014/6/24 0:00,362750,2,1.75,1240,3000,1.5,0,0,3,1240,0,1906,2014,Seattle
2014/6/24 0:00,234975,4,2.75,2520,14021,2,0,0,3,2520,0,1999,0,Duvall
2014/6/24 0:00,672500,4,2.25,2420,10200,2,0,0,4,2420,0,1973,0,Mercer Island
2014/6/24 0:00,391400,4,1.75,1250,7400,1,0,0,5,1250,0,1959,0,Bellevue
2014/6/24 0:00,0,3,2.75,1310,7300,1,0,0,3,1310,0,1957,2000,Bellevue
2014/6/24 0:00,198995,3,1,1410,8053,1,0,0,4,1410,0,1951,1999,Seattle
2014/6/24 0:00,278900,3,1,990,9798,1,0,0,3,990,0,1968,1997,Woodinville
2014/6/24 0:00,171758.3333,3,1,1000,8512,1,0,0,3,1000,0,1991,0,Enumclaw
2014/6/24 0:00,325187.5,3,1.75,2000,7560,1,0,0,4,1300,700,1968,0,Renton
2014/6/25 0:00,190368.75,2,1,1120,5650,1,0,0,3,1120,0,1944,0,Seattle
2014/6/25 0:00,375000,5,3.25,3370,7947,2,0,0,3,3370,0,2001,0,Kirkland
2014/6/25 0:00,216000,3,2.75,2210,4000,2,0,0,3,2210,0,2008,0,Redmond
2014/6/25 0:00,0,5,3.5,2640,6895,2,0,0,3,2640,0,2001,0,Snoqualmie
2014/6/25 0:00,360500,3,2.5,1150,887,3,0,0,3,1150,0,2007,0,Seattle
2014/6/26 0:00,677099.5652,4,2.5,2150,27540,2,0,0,3,2150,0,1997,0,Redmond
2014/6/26 0:00,405125,4,2.75,4230,31747,2,0,0,4,4230,0,1985,0,Woodinville
2014/6/26 0:00,289987.5,3,1.75,1570,15330,1,0,0,3,1080,490,1956,2001,Burien
2014/6/26 0:00,264270,3,2.5,1630,7700,1,0,0,3,1120,510,1978,0,Kent
2014/6/26 0:00,602761,4,2.5,2770,10274,2,0,0,3,2770,0,1989,0,Issaquah
2014/6/26 0:00,251555.5556,3,1,1750,7800,1,0,0,4,1150,600,1956,0,Burien
2014/6/26 0:00,214750,3,1.5,1090,8160,1,0,0,3,1090,0,1967,2014,Renton
2014/6/26 0:00,258125,2,1,930,7740,1,0,0,3,930,0,1924,2011,Seattle
2014/6/26 0:00,0,4,2,2100,4857,2,0,0,3,2100,0,1965,1984,Lake Forest Park
2014/6/27 0:00,677099.5652,4,2.5,2540,38677,2,0,0,3,2540,0,1987,2000,Redmond
2014/6/27 0:00,0,2,1,810,8424,1,0,0,4,810,0,1959,0,Federal Way
2014/6/27 0:00,0,2,1.5,1520,8040,1,0,0,5,1520,0,1951,0,Seattle
2014/6/27 0:00,167500,1,1,690,1950,1,0,0,3,690,0,1928,1954,Seattle
2014/6/27 0:00,471500,4,3,2370,3672,1.5,0,0,5,1650,720,1916,0,Seattle
2014/6/28 0:00,0,4,4.25,3500,8750,1,0,4,5,2140,1360,1951,0,Seattle
2014/6/29 0:00,464600,2,1,840,3400,1,0,2,4,840,0,1924,0,Seattle
2014/6/30 0:00,132250,4,2.25,1830,8734,2,0,0,4,1830,0,1991,0,Kent
2014/6/30 0:00,433111.1111,3,2.25,1370,1524,3,0,0,3,1370,0,2005,0,Seattle
2014/6/30 0:00,542500,5,2.75,2520,16100,1,0,3,4,1570,950,1960,2001,Mercer Island
2014/7/1 0:00,0,2,2.25,2130,4920,1.5,0,4,4,1530,600,1941,1998,Seattle
2014/7/1 0:00,368112.5,4,2.5,2590,8483,2,0,0,3,2590,0,1991,0,Bothell
2014/7/1 0:00,673476.8182,4,2.5,1820,20011,2,0,0,3,1820,0,1987,2000,Sammamish
2014/7/1 0:00,558653.8462,3,2.5,1530,3210,1.5,0,0,5,1010,520,1928,1970,Seattle
2014/7/2 0:00,0,4,2.5,4080,18362,2,0,2,4,4080,0,1983,0,Clyde Hill
2014/7/2 0:00,168333.3333,2,1,1050,6600,1.5,0,0,3,1050,0,1964,2000,Burien
2014/7/2 0:00,268971.875,4,2.5,1954,4805,2,0,0,3,1954,0,2005,0,Kent
2014/7/2 0:00,318000,2,1.75,1530,3503,1,0,1,4,830,700,1916,0,Seattle
2014/7/2 0:00,550607.1429,4,2,1660,4800,1.5,0,0,3,1660,0,1922,2008,Seattle
2014/7/2 0:00,1288333.333,6,4.5,3830,4800,3,0,0,3,3050,780,1919,2004,Seattle
2014/7/2 0:00,584000,3,1.75,1490,1036,2,0,0,3,1090,400,2008,0,Seattle
2014/7/2 0:00,0,3,1,1520,9030,1,0,0,3,1520,0,1956,2001,Bellevue
2014/7/2 0:00,0,5,6.25,8020,21738,2,0,0,3,8020,0,2001,0,Bellevue
2014/7/2 0:00,245000,3,3,2470,7410,2,0,0,5,1860,610,1977,0,Seattle
2014/7/3 0:00,287919.7826,2,1,870,4600,1,0,0,4,870,0,1942,1982,Seattle
2014/7/5 0:00,672500,4,2.25,2110,12653,2,0,0,4,2110,0,1972,0,Mercer Island
2014/7/6 0:00,454790,2,1.75,1990,4000,1,0,0,5,1090,900,1952,1998,Seattle
2014/7/7 0:00,282508.8889,3,1,1560,7552,1,0,0,4,910,650,1948,0,Shoreline
2014/7/7 0:00,473200,3,1.5,1740,4200,1.5,0,0,4,1640,100,1920,0,Seattle
2014/7/7 0:00,406062.5,2,1,1290,4650,1,0,0,4,1290,0,1906,1990,Seattle
2014/7/7 0:00,282766.6667,4,2,1700,8640,1,0,0,3,850,850,1955,2010,Bellevue
2014/7/7 0:00,486445.8333,3,1.75,1880,10032,1,0,0,4,1880,0,1984,0,Bellevue
2014/7/7 0:00,486895,3,1,1890,3330,1.5,0,0,4,1390,500,1901,0,Seattle
2014/7/7 0:00,430277.7778,3,2.25,1620,1075,3,0,0,3,1540,80,2009,0,Issaquah
2014/7/8 0:00,229629.5,2,1,770,8149,1,0,0,3,770,0,1948,1994,Shoreline
2014/7/8 0:00,0,4,2.25,2890,18226,3,1,4,3,2890,0,1984,0,Renton
2014/7/8 0:00,182805,3,1,1040,8892,1,0,0,4,800,240,1958,1972,Federal Way
2014/7/8 0:00,380680.5556,4,2.5,2620,8331,2,0,0,3,2620,0,1991,0,Renton
2014/7/8 0:00,396166.6667,3,1.75,1880,5752,1,0,0,4,940,940,1945,0,Seattle
2014/7/8 0:00,252980,4,2.5,2530,8169,2,0,0,3,2530,0,1993,0,Federal Way
2014/7/8 0:00,289373.3077,3,2.5,2538,4600,2,0,0,3,2538,0,2013,1923,Auburn
2014/7/9 0:00,210614.2857,3,2.5,1610,7223,2,0,0,3,1610,0,1994,0,Kent
2014/7/9 0:00,308166.6667,3,1.75,1510,6360,1,0,0,4,1510,0,1954,1979,Seattle
2014/7/9 0:00,534333.3333,3,2.5,1460,7573,2,0,0,3,1460,0,1983,2009,Bellevue
2014/7/9 0:00,416904.1667,3,2.5,3010,7014,2,0,0,3,3010,0,2009,0,Renton
2014/7/10 0:00,203400,4,2,2090,6630,1,0,0,3,1070,1020,1974,0,Seattle
2014/7/10 0:00,220600,3,2.5,1490,8102,2,0,0,4,1490,0,1990,0,Covington
